,salary_min,salary_max,salary_currency,site,name,link
138,250000.0,,₽,hh.ru,Python разработчик,https://volgograd.hh.ru/vacancy/83166142?from=vacancy_search_list&query=python
139,,,,hh.ru,Junior Python developer,https://volgograd.hh.ru/vacancy/83116394?from=vacancy_search_list&query=python
140,30000.0,120000.0,₽,hh.ru,Преподаватель программирования Python,https://volgograd.hh.ru/vacancy/83706486?from=vacancy_search_list&query=python
141,150000.0,200000.0,₽,hh.ru,Программист Python,https://volgograd.hh.ru/vacancy/80217484?from=vacancy_search_list&query=python
142,200000.0,250000.0,₽,hh.ru,Разработчик Python (backend),https://volgograd.hh.ru/vacancy/83202028?from=vacancy_search_list&query=python
143,,350000.0,₽,hh.ru,Программист Python,https://volgograd.hh.ru/vacancy/83270342?from=vacancy_search_list&query=python
144,243000.0,415000.0,₽,hh.ru,Ведущий Python разработчик,https://volgograd.hh.ru/vacancy/80505406?from=vacancy_search_list&query=python
145,120000.0,160000.0,₽,hh.ru,Python разработчик,https://volgograd.hh.ru/vacancy/82983335?from=vacancy_search_list&query=python
146,230000.0,310000.0,₽,hh.ru,Разработчик Python,https://volgograd.hh.ru/vacancy/83112341?from=vacancy_search_list&query=python
147,100000.0,200000.0,₸,hh.ru,"Преподаватель/ментор по программированию (Python, Roblox)",https://volgograd.hh.ru/vacancy/82882010?from=vacancy_search_list&query=python
148,220000.0,340000.0,₽,hh.ru,Ведущий Python-developer,https://volgograd.hh.ru/vacancy/80514960?from=vacancy_search_list&query=python
149,,,,hh.ru,Junior Python разработчик [средства интеллектуального анализа],https://volgograd.hh.ru/vacancy/82970423?from=vacancy_search_list&query=python
150,280000.0,,,hh.ru,Ведущий разработчик Python (FastAPI),https://volgograd.hh.ru/vacancy/83242182?from=vacancy_search_list&query=python
151,150000.0,,,hh.ru,Инженер-программист (Python),https://volgograd.hh.ru/vacancy/82877347?from=vacancy_search_list&query=python
152,2000.0,,,hh.ru,Разработчик Python (Продукт в сфере кибербезопасности),https://volgograd.hh.ru/vacancy/83000538?from=vacancy_search_list&query=python
153,,,,hh.ru,Junior Python Developer,https://volgograd.hh.ru/vacancy/82286058?from=vacancy_search_list&query=python
154,,,,hh.ru,Преподаватель программирования Python,https://volgograd.hh.ru/vacancy/83151011?from=vacancy_search_list&query=python
155,30000.0,,,hh.ru,Программист Python (Junior),https://volgograd.hh.ru/vacancy/79995246?from=vacancy_search_list&query=python
156,70000.0,150000.0,₽,hh.ru,Junior/Middle Python Developer (Backend) - разработчик Питон,https://volgograd.hh.ru/vacancy/82825127?from=vacancy_search_list&query=python
157,180000.0,320000.0,₽,hh.ru,Программист Python (Банк),https://volgograd.hh.ru/vacancy/82299184?from=vacancy_search_list&query=python
158,100000.0,350000.0,₽,hh.ru,Python разработчик fullstack,https://volgograd.hh.ru/vacancy/83065458?from=vacancy_search_list&query=python
159,,,,hh.ru,Junior Python developer,https://volgograd.hh.ru/vacancy/82771510?from=vacancy_search_list&query=python
160,70000.0,90000.0,₽,hh.ru,Программист Python,https://volgograd.hh.ru/vacancy/82565834?from=vacancy_search_list&query=python
161,40000.0,,₽,hh.ru,Программист Python,https://volgograd.hh.ru/vacancy/82937180?from=vacancy_search_list&query=python
162,125000.0,243000.0,₽,hh.ru,Программист Python,https://volgograd.hh.ru/vacancy/81560390?from=vacancy_search_list&query=python
163,,,,hh.ru,Стажер\Data engineer\Python developer,https://volgograd.hh.ru/vacancy/82440351?from=vacancy_search_list&query=python
164,150000.0,220000.0,₽,hh.ru,Python-developer,https://volgograd.hh.ru/vacancy/82613417?from=vacancy_search_list&query=python
165,,40000.0,₽,hh.ru,Программист Python (парсинг данных),https://volgograd.hh.ru/vacancy/83053963?from=vacancy_search_list&query=python
166,,,,hh.ru,Программист Python (Junior),https://volgograd.hh.ru/vacancy/82440741?from=vacancy_search_list&query=python
167,2500.0,3500.0,$,hh.ru,Backend-разработчик Python/C++,https://volgograd.hh.ru/vacancy/82900806?from=vacancy_search_list&query=python
168,150000.0,,$,hh.ru,Разработчик Python,https://volgograd.hh.ru/vacancy/78823037?from=vacancy_search_list&query=python
169,140000.0,200000.0,₽,hh.ru,Python middle developer,https://volgograd.hh.ru/vacancy/83268142?from=vacancy_search_list&query=python
170,,425000.0,₽,hh.ru,Python-разработчик,https://volgograd.hh.ru/vacancy/82407690?from=vacancy_search_list&query=python
171,80000.0,,₽,hh.ru,Python-разработчик,https://volgograd.hh.ru/vacancy/82429237?from=vacancy_search_list&query=python
172,60000.0,,₽,hh.ru,"Преподаватель курса ""Python-разработчик""",https://volgograd.hh.ru/vacancy/80788555?from=vacancy_search_list&query=python
173,,40000.0,₽,hh.ru,Программист Python (парсинг данных),https://volgograd.hh.ru/vacancy/83053964?from=vacancy_search_list&query=python
174,150000.0,,₽,hh.ru,Разработчик Python,https://volgograd.hh.ru/vacancy/80402635?from=vacancy_search_list&query=python
175,250000.0,,₽,hh.ru,Разработчик Python MLOps,https://volgograd.hh.ru/vacancy/83055766?from=vacancy_search_list&query=python
176,75000.0,125000.0,₽,hh.ru,Преподаватель Python,https://volgograd.hh.ru/vacancy/83128331?from=vacancy_search_list&query=python
177,220000.0,340000.0,₽,hh.ru,Ведущий Python-developer,https://volgograd.hh.ru/vacancy/79965396?from=vacancy_search_list&query=python
178,180000.0,240000.0,₽,hh.ru,Middle+ Python-разработчик (FastAPI),https://volgograd.hh.ru/vacancy/78259561?from=vacancy_search_list&query=python
179,,,,hh.ru,Преподаватель Python (offline),https://volgograd.hh.ru/vacancy/83365087?from=vacancy_search_list&query=python
180,2500.0,3500.0,$,hh.ru,Backend-разработчик Python/C++,https://volgograd.hh.ru/vacancy/82900807?from=vacancy_search_list&query=python
181,240000.0,270000.0,₽,hh.ru,Python разработчик (аккредитованная компания),https://volgograd.hh.ru/vacancy/82926114?from=vacancy_search_list&query=python
182,,,,hh.ru,Наставник на курсы для подростков по Python-разработке,https://volgograd.hh.ru/vacancy/83222866?from=vacancy_search_list&query=python
183,75000.0,125000.0,₽,hh.ru,Преподаватель Python,https://volgograd.hh.ru/vacancy/83128332?from=vacancy_search_list&query=python
184,250000.0,350000.0,₽,hh.ru,Разработчик Python Middle+ Senior,https://volgograd.hh.ru/vacancy/83146353?from=vacancy_search_list&query=python
185,230000.0,,₽,hh.ru,Backend-разработчик Python,https://volgograd.hh.ru/vacancy/82935668?from=vacancy_search_list&query=python
186,,,,hh.ru,Python Django - ментор,https://volgograd.hh.ru/vacancy/81960294?from=vacancy_search_list&query=python
187,,200000.0,,hh.ru,Ведущий разработчик Python,https://volgograd.hh.ru/vacancy/83086630?from=vacancy_search_list&query=python
188,190000.0,250000.0,₽,hh.ru,Python разработчик (middle+),https://volgograd.hh.ru/vacancy/81054302?from=vacancy_search_list&query=python
189,300000.0,500000.0,₸,hh.ru,Python backend разработчик,https://volgograd.hh.ru/vacancy/82508298?from=vacancy_search_list&query=python
190,,250000.0,₸,hh.ru,Разработчик Python (Flask/PostgreSQL/Redis),https://volgograd.hh.ru/vacancy/82138937?from=vacancy_search_list&query=python
191,120000.0,180000.0,₽,hh.ru,Middle Python-разработчик,https://volgograd.hh.ru/vacancy/82402579?from=vacancy_search_list&query=python
192,225000.0,,₽,hh.ru,Ведущий программист Python,https://volgograd.hh.ru/vacancy/81560362?from=vacancy_search_list&query=python
193,,,,hh.ru,Python разработчик,https://volgograd.hh.ru/vacancy/82389017?from=vacancy_search_list&query=python
194,,,,hh.ru,"Преподаватель программирования (Roblox, Python)",https://volgograd.hh.ru/vacancy/83301635?from=vacancy_search_list&query=python
195,80000.0,120000.0,₽,hh.ru,Программист-аналитик по видеоанализу,https://volgograd.hh.ru/vacancy/82785464?from=vacancy_search_list&query=python
196,180000.0,220000.0,₽,hh.ru,Python разработчик (middle+),https://volgograd.hh.ru/vacancy/81054303?from=vacancy_search_list&query=python
197,150000.0,,₽,hh.ru,Инженер-программист (Python),https://volgograd.hh.ru/vacancy/82877348?from=vacancy_search_list&query=python
198,250000.0,,₽,hh.ru,Python-разработчик,https://volgograd.hh.ru/vacancy/82658569?from=vacancy_search_list&query=python
199,200000.0,,₽,hh.ru,Backend - разработчик Python (Middle+),https://volgograd.hh.ru/vacancy/83045032?from=vacancy_search_list&query=python
200,4000.0,,₽,hh.ru,Senior Python developer (MLOps),https://volgograd.hh.ru/vacancy/83148895?from=vacancy_search_list&query=python
201,2000000.0,6000000.0,so'm,hh.ru,Преподаватель по Python,https://volgograd.hh.ru/vacancy/83084250?from=vacancy_search_list&query=python
202,200000.0,,so'm,hh.ru,Backend - разработчик Python (Middle+),https://volgograd.hh.ru/vacancy/83045033?from=vacancy_search_list&query=python
203,200000.0,,so'm,hh.ru,Backend - разработчик Python (Middle+),https://volgograd.hh.ru/vacancy/82661632?from=vacancy_search_list&query=python
204,1000000.0,1400000.0,₸,hh.ru,Senior Python разработчик,https://volgograd.hh.ru/vacancy/82714337?from=vacancy_search_list&query=python
205,,,,hh.ru,Преподаватель программирования (Python),https://volgograd.hh.ru/vacancy/81297148?from=vacancy_search_list&query=python
206,,,,hh.ru,Python Django - ментор,https://volgograd.hh.ru/vacancy/82012257?from=vacancy_search_list&query=python
207,5000.0,9000.0,Br,hh.ru,Python Разработчик,https://volgograd.hh.ru/vacancy/83648703?from=vacancy_search_list&query=python
